Date,Price_Baoshan Iron & Steel Stock Price History,Price_Beijing Tongrentang Stock Price History,Price_China Shenhua Energy SH Stock Price History,Price_Huaneng Power International Stock Price History,Price_SAIC Motor Corp Stock Price History
2015-09-24,5.72,24.04,15.02,8.87,16.6
2015-09-25,5.56,23.27,14.9,8.63,16.31
2015-09-28,5.6,23.03,14.84,8.7,16.57
2015-09-29,5.47,22.31,14.39,8.64,16.13
2015-09-30,5.59,22.48,14.48,8.65,16.8
2015-10-08,5.77,23.92,15.06,8.95,17.77
2015-11-06,5.96,27.02,15.97,9.74,19.55
2015-11-09,6.03,27.55,16.18,9.88,20.88
2015-11-10,6.01,27.13,16.26,9.74,20.68
2015-11-11,6.05,27.02,16.2,9.72,20.31
2015-11-12,5.92,27.2,15.94,9.62,19.92
2015-11-13,5.79,26.24,15.58,9.62,20.11
2015-11-16,5.82,26.33,15.68,9.48,20.21
2015-11-17,5.88,26.4,15.68,9.51,20.08
2015-11-18,5.87,26.6,15.6,9.39,19.8
2015-11-19,5.91,27.95,15.71,9.45,19.9
2015-11-20,5.89,27.54,15.65,9.43,19.96
2015-11-23,5.83,27.08,15.47,9.32,19.9
2015-11-24,5.8,26.81,15.35,9.25,19.83
2015-11-25,5.81,27.0,15.43,9.29,19.92
2015-11-26,5.8,26.59,15.59,9.25,19.81
2015-11-27,5.51,25.56,14.74,8.79,18.96
2015-11-30,5.48,26.59,14.7,8.92,19.13
2015-12-01,5.52,28.18,14.76,8.95,19.56
2015-12-02,5.69,28.73,15.2,9.26,20.64
2015-12-03,5.67,28.96,15.28,9.25,21.15
2015-12-04,5.53,28.22,15.1,9.05,20.63
2015-12-07,5.51,31.03,14.99,8.98,20.65
2015-12-08,5.4,33.51,14.65,8.83,20.08
2015-12-09,5.42,33.56,14.71,8.84,20.98
2015-12-10,5.38,33.5,14.66,8.79,20.63
2015-12-11,5.42,34.53,14.66,8.66,20.42
2015-12-14,5.51,35.39,14.97,8.94,20.76
2015-12-15,5.46,34.54,14.78,8.84,20.59
2015-12-16,5.43,33.69,14.9,8.73,20.43
2015-12-17,5.64,37.06,15.1,8.84,20.63
2015-12-18,5.53,36.99,15.0,8.87,20.68
2015-12-21,5.65,40.66,15.34,9.2,21.61
2015-12-22,5.77,41.08,15.34,9.14,21.54
2015-12-23,5.68,41.25,15.26,9.11,21.9
2015-12-24,5.68,38.48,15.06,8.94,21.78
2015-12-25,5.65,38.55,15.11,8.99,21.84
2015-12-28,5.53,39.53,14.82,8.78,21.21
2015-12-29,5.63,39.88,15.02,8.81,21.37
2015-12-30,5.59,40.71,15.06,8.81,21.34
2015-12-31,5.58,44.55,14.97,8.73,21.24
2016-01-04,5.24,40.15,14.1,8.23,19.67
2016-01-05,5.43,36.59,14.33,8.22,19.94
2016-01-06,5.97,36.77,15.75,8.4,20.19
2016-01-07,5.37,33.11,14.18,7.78,18.86
2016-01-08,5.92,33.16,15.63,7.98,19.52
2016-01-11,5.73,31.0,14.4,7.61,19.05
2016-01-12,5.5,32.86,14.18,7.52,18.99
2016-01-13,5.71,31.48,14.03,7.44,19.24
2016-01-14,6.05,33.02,14.22,7.47,19.83
2016-01-15,5.9,31.89,13.67,7.15,19.7
2016-01-18,5.84,31.96,13.46,7.15,19.5
2016-01-19,6.03,33.05,13.75,7.39,20.02
2016-01-20,5.67,31.93,13.48,7.36,19.22
2016-01-21,5.4,29.25,13.31,7.15,18.76
2016-01-22,5.49,29.36,13.75,7.22,18.92
2016-01-25,5.62,30.74,13.94,7.24,18.91
2016-01-26,5.1,27.88,13.03,6.86,18.04
2016-01-27,5.47,28.99,13.23,6.78,17.89
2016-01-28,5.16,28.01,13.25,6.68,17.89
2016-01-29,5.22,29.09,13.4,6.86,18.63
2016-02-01,4.93,28.5,13.05,6.73,18.59
2016-02-02,4.95,29.19,13.19,6.83,18.85
2016-02-03,4.84,28.58,12.99,6.78,18.39
2016-02-04,4.91,28.96,13.14,6.86,18.59
2016-02-05,4.93,30.68,13.1,6.8,18.39
2016-02-15,4.84,31.66,13.06,6.69,18.52
2016-02-16,4.99,32.0,13.36,6.9,18.85
2016-02-17,5.06,31.31,13.46,6.94,18.93
2016-02-18,5.09,30.7,13.49,6.96,18.75
2016-02-19,5.03,31.11,13.38,6.95,18.63
2016-02-22,5.37,31.34,13.75,7.07,18.87
2016-02-23,5.38,30.73,13.85,7.06,18.77
2016-02-24,5.42,30.23,13.85,7.28,18.82
2016-02-25,5.08,28.58,12.99,6.85,18.01
2016-02-26,5.23,28.5,13.31,6.98,18.02
2016-02-29,5.08,27.13,13.64,6.9,18.33
2016-03-01,5.13,27.37,13.82,6.9,18.41
2016-03-02,5.45,28.26,14.32,7.13,18.94
2016-03-03,5.38,28.21,14.16,7.18,19.0
2016-03-04,5.39,29.0,14.45,7.48,19.71
2016-03-07,5.61,28.8,14.52,7.42,19.59
2016-03-08,5.58,28.48,14.45,7.42,19.73
2016-03-09,5.31,28.27,14.21,7.44,20.03
2016-03-10,5.18,27.66,13.64,7.26,19.47
2016-03-11,5.18,27.47,13.86,7.32,19.52
2016-03-14,5.26,28.04,14.06,7.41,19.4
2016-03-15,5.19,27.91,14.0,7.79,19.42
2016-03-16,5.21,28.48,14.26,7.91,20.11
2016-03-17,5.26,28.81,14.3,7.9,19.9
2016-03-18,5.37,29.1,14.34,7.84,19.85
2016-03-21,5.44,29.64,14.42,7.86,19.94
2016-03-22,5.33,28.98,14.27,7.91,19.87
2016-03-23,5.35,28.93,14.26,7.82,19.88
2016-03-24,5.25,28.43,13.94,7.75,19.68
2016-03-25,5.22,29.19,14.01,7.77,19.86
2016-03-28,5.2,29.37,13.9,7.8,19.51
2016-03-29,5.13,28.76,13.82,7.84,19.22
2016-03-30,5.26,30.55,14.17,8.05,19.76
2016-03-31,5.25,30.17,14.07,7.97,20.07
2016-04-01,5.33,29.8,14.21,8.02,20.37
2016-04-05,5.37,30.22,14.25,8.04,20.34
2016-04-06,5.34,30.05,14.18,8.0,20.34
2016-04-07,5.36,29.84,14.1,7.86,20.2
2016-04-08,5.51,29.62,14.14,7.8,20.15
2016-04-11,5.85,30.08,14.43,7.89,20.44
2016-04-12,5.91,29.9,14.97,7.81,20.38
2016-04-13,5.92,29.92,15.45,7.92,20.4
2016-04-14,5.95,29.89,15.37,7.95,20.58
2016-04-15,5.82,29.84,15.27,7.92,20.48
2016-04-18,5.79,29.22,15.23,7.77,20.2
2016-04-19,5.87,29.12,15.06,7.77,20.24
2016-04-20,5.8,28.38,14.86,7.78,20.23
2016-04-21,5.86,28.0,14.83,7.66,20.02
2016-04-22,5.71,28.32,14.72,7.72,20.26
2016-04-25,5.78,27.89,14.76,7.7,20.44
2016-04-26,5.77,28.0,14.7,7.67,20.48
2016-04-27,5.68,27.92,14.4,7.63,20.25
2016-04-28,5.57,27.76,14.52,7.52,20.2
2016-04-29,5.56,27.87,14.78,7.47,20.33
2016-05-03,5.63,28.82,14.7,7.57,20.54
2016-05-04,5.6,28.72,14.51,7.58,20.46
2016-05-05,5.56,28.63,14.49,7.57,20.17
2016-05-06,5.41,27.91,14.12,7.43,19.79
